Unnamed: 0,rating,review,date,userName,title,quarter,year
2942,1,한국어 자막 어디에???,2020-04-07 15:45:33,Google 사용자,,2020/2Q,2020
3375,5,Gut,2020-04-09 05:36:05,Google 사용자,,2020/2Q,2020
3374,2,App needs improvement,2020-04-18 18:41:44,Google 사용자,,2020/2Q,2020
3376,1,"Wenn ich diese App öffne, sagt es immer ""Überprüfen Sie die Internetverbindung"". Meine Verbindung ist sehr gut. Nur diese App hat ein Problem. Wenn ich mit meinem iPhone oder Laptop öffne. Es gibt überhaupt kein Problem. Was ist das Problem? Mein Tablet oder was? Ich habe bereits mehrmals wieder installiert.",2020-04-21 07:02:28,Google 사용자,,2020/2Q,2020
1505,4,너무 화질이 좋고 영화가 많다 하지만 최신 영화는 없다,2020-04-24 08:02:14,Google 사용자,,2020/2Q,2020
2820,1,로그인이 안돼네요,2020-05-30 01:31:33,조평지,,2020/2Q,2020
3373,5,Korea subtitle please thank you,2020-06-08 05:55:42,jangwoong chung,,2020/2Q,2020
3372,1,Content download doesn't work. Even i'm connected with WIFI and Netflix content download works well.,2020-06-12 15:15:45,Jiseok Jung,,2020/2Q,2020
