Unnamed: 0,rating,review,date,userName,title,quarter,year
2457,1,왜 영상 보기도 전에 돈 내야 하나요...,2021-01-08 13:01:13,체리야사랑해,,2021/1Q,2021
3366,5,I love Disney+,2021-01-16 06:34:15,Ingrid Cristina,,2021/1Q,2021
1210,3,안녕하세요 한국인 입니다 날자를 보면 오픈되기 전이죠 그래서 한글 자막이 없어요 오픈돼면 나옵니다 수정 한거 에용ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 리뷰는 괜찮다 입니다,2021-01-16 15:39:19,Sookhyun Park,,2021/1Q,2021
3365,4,"There are still some minor bugs time to time using this app but generally happy with it! And hopefully for my parents, Korean subtitles are on its way :)",2021-01-17 15:12:05,leo kang,,2021/1Q,2021
1670,5,oh my god koreans..한국인님들?이거 아직 한국에는 안 나와서 한국 자막이랑 더빙이 당연히 없죸ㅋㅋ큐ㅠㅠ 한국엔 6월쯤에 나와요 악플 좀 달지 마세요;; 볼것도 많고 잼씁니다! 특히 마블에 볼게 많아서 좋네요😎,2021-01-21 03:42:23,김지유,,2021/1Q,2021
3405,4,"Muy bueno el disney, solo que no sé porqué aún no tiene cosas como en Netflix como ponero a tu tele desde tu cel.",2021-03-07 12:19:44,Fernando Antonio Moreno Martínez,,2021/1Q,2021
3459,1,Good 😉😉😉😉😉😉😉😉😉😉😉,2021-03-23 13:07:45,Jacob Won,,2021/1Q,2021
