Unnamed: 0,rating,review,date,userName,title,quarter,year
3383,3,I can not add profile over app. So far that's only issue for me,2019-11-13 07:43:46,Google 사용자,,2019/4Q,2019
3382,2,"I logged in disney plus, but I CAN'T join!!",2019-11-14 23:44:27,Google 사용자,,2019/4Q,2019
3381,1,Not available in my area Dallas,2019-11-15 00:00:15,Google 사용자,,2019/4Q,2019
3380,1,infinite loading,2019-11-20 07:13:44,Google 사용자,,2019/4Q,2019
2571,1,아직은 볼게 많지 않네요.,2019-12-05 09:26:13,Google 사용자,,2019/4Q,2019
3379,5,Good,2019-12-24 10:57:27,Google 사용자,,2019/4Q,2019
