Unnamed: 0,rating,review,date,userName,title,quarter,year
3362,1,If u can't satisfy me u can't satisfy other 30%. Definitely u have better contents than netflix. However neflix have better rewind button than u r. If I wanted watch a better quality movie I ll go movie thieter. I think u r overvaulatung urself over contents. 1. Price is too high 2. Interaction need to invested more. Its fuxx,2021-07-12 15:17:22,Lasko Lasko,,2021/3Q,2021
2606,1,머이렇게 플레이가안대는지...,2021-07-14 09:17:56,Jay Park,,2021/3Q,2021
3361,5,Please lunch korea please everybody is waiting for disney plus kr,2021-07-26 03:07:05,Jimmy Trump,,2021/3Q,2021
3357,1,Give me back money if you keep on blocking VPN user,2021-08-09 00:05:24,月野うさぎ,,2021/3Q,2021
3360,1,"Cuando descargo contenido,solo viene en inglés y a veces (casi siempre) no abre cuando le pongo a reproducir, siendo que lo descargué,a veces las cosas están con subtítulos cc,o a veces de plano no están en el idioma en el que las quiero ver; deberían de mejorarlo.",2021-09-05 13:58:40,kandy you,,2021/3Q,2021
3358,1,My address has been blocked. What happened?,2021-09-26 12:03:55,INSOOK KIM,,2021/3Q,2021
